Entry	Entry Name	Length	Cofactor	Catalytic activity	Binding site	Annotation	EC number	Protein existence	Gene Names (ordered locus)	Gene Names (primary)
Q12285	MDY2_YEAST	212				5.0		Evidence at protein level	YOL111C	MDY2
Q12287	COX17_YEAST	69			BINDING 23; /ligand="Cu cation"; /ligand_id="ChEBI:CHEBI:23378"; /evidence="ECO:0000250|UniProtKB:Q14061"; BINDING 24; /ligand="Cu cation"; /ligand_id="ChEBI:CHEBI:23378"; /evidence="ECO:0000250|UniProtKB:Q14061"	5.0		Evidence at protein level	YLL009C	COX17
Q12292	ATG34_YEAST	412				5.0		Evidence at protein level	YOL083W	ATG34
Q12297	TAF3_YEAST	353				5.0		Evidence at protein level	YPL011C	TAF3
Q12300	RGT2_YEAST	763				5.0		Evidence at protein level	YDL138W	RGT2
Q12303	YPS3_YEAST	508				5.0	3.4.23.-	Evidence at protein level	YLR121C	YPS3
Q12305	RDL1_YEAST	139		CATALYTIC ACTIVITY: Reaction=glutathione + thiosulfate = H(+) + S-sulfanylglutathione + sulfite; Xref=Rhea:RHEA:55976, ChEBI:CHEBI:15378, ChEBI:CHEBI:17359, ChEBI:CHEBI:33542, ChEBI:CHEBI:57925, ChEBI:CHEBI:58905; Evidence={ECO:0000269|PubMed:24981631};		5.0	2.8.1.-	Evidence at protein level	YOR285W	RDL1
Q12306	SMT3_YEAST	101				5.0		Evidence at protein level	YDR510W	SMT3
Q12309	CLF1_YEAST	687				5.0		Evidence at protein level	YLR117C	CLF1
Q12311	NTO1_YEAST	748				5.0		Evidence at protein level	YPR031W	NTO1
Q12315	GLE1_YEAST	538				5.0		Evidence at protein level	YDL207W	GLE1
Q12316	YG13B_YEAST	1755		CATALYTIC ACTIVITY: Reaction=a 2'-deoxyribonucleoside 5'-triphosphate + DNA(n) = diphosphate + DNA(n+1); Xref=Rhea:RHEA:22508, Rhea:RHEA-COMP:17339, Rhea:RHEA-COMP:17340, ChEBI:CHEBI:33019, ChEBI:CHEBI:61560, ChEBI:CHEBI:173112; EC=2.7.7.49; CATALYTIC ACTIVITY: Reaction=a 2'-deoxyribonucleoside 5'-triphosphate + DNA(n) = diphosphate + DNA(n+1); Xref=Rhea:RHEA:22508, Rhea:RHEA-COMP:17339, Rhea:RHEA-COMP:17340, ChEBI:CHEBI:33019, ChEBI:CHEBI:61560, ChEBI:CHEBI:173112; EC=2.7.7.7; CATALYTIC ACTIVITY: Reaction=Endonucleolytic cleavage to 5'-phosphomonoester.; EC=3.1.26.4;	BINDING 671; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="1"; /ligand_note="catalytic; for integrase activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; BINDING 736; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="1"; /ligand_note="catalytic; for integrase activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; BINDING 1346; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="2"; /ligand_note="catalytic; for reverse transcriptase activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; BINDING 1427; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="2"; /ligand_note="catalytic; for reverse transcriptase activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; BINDING 1428; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="2"; /ligand_note="catalytic; for reverse transcriptase activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; BINDING 1610; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="3"; /ligand_note="catalytic; for RNase H activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; BINDING 1652; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="3"; /ligand_note="catalytic; for RNase H activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; BINDING 1685; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="3"; /ligand_note="catalytic; for RNase H activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"	5.0	2.7.7.49; 2.7.7.7; 3.1.26.4; 3.4.23.-	Inferred from homology	YGR161C-D	TY1B-GR3
Q12317	MSB4_YEAST	492				5.0		Evidence at protein level	YOL112W	MSB4
Q12321	MED1_YEAST	566				5.0		Evidence at protein level	YPR070W	MED1
Q12324	YVC1_YEAST	675				5.0		Evidence at protein level	YOR087W	YVC1
Q12328	TIM22_YEAST	207				5.0		Evidence at protein level	YDL217C	TIM22
Q12330	RUXE_YEAST	94				5.0		Evidence at protein level	YOR159C	SME1
Q12333	FRE7_YEAST	620	COFACTOR: Name=FAD; Xref=ChEBI:CHEBI:57692; Evidence={ECO:0000305};	CATALYTIC ACTIVITY: Reaction=2 a Fe(II)-siderophore + H(+) + NADP(+) = 2 a Fe(III)-siderophore + NADPH; Xref=Rhea:RHEA:28795, Rhea:RHEA-COMP:11342, Rhea:RHEA-COMP:11344, ChEBI:CHEBI:15378, ChEBI:CHEBI:29033, ChEBI:CHEBI:29034, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.16.1.9;	BINDING 197; /ligand="heme"; /ligand_id="ChEBI:CHEBI:30413"; /ligand_label="1"; /ligand_part="Fe"; /ligand_part_id="ChEBI:CHEBI:18248"; /note="axial binding residue"; /evidence="ECO:0000250"; BINDING 211; /ligand="heme"; /ligand_id="ChEBI:CHEBI:30413"; /ligand_label="2"; /ligand_part="Fe"; /ligand_part_id="ChEBI:CHEBI:18248"; /note="axial binding residue"; /evidence="ECO:0000250"; BINDING 271; /ligand="heme"; /ligand_id="ChEBI:CHEBI:30413"; /ligand_label="1"; /ligand_part="Fe"; /ligand_part_id="ChEBI:CHEBI:18248"; /note="axial binding residue"; /evidence="ECO:0000250"; BINDING 285; /ligand="heme"; /ligand_id="ChEBI:CHEBI:30413"; /ligand_label="2"; /ligand_part="Fe"; /ligand_part_id="ChEBI:CHEBI:18248"; /note="axial binding residue"; /evidence="ECO:0000250"; BINDING 369..375; /ligand="FAD"; /ligand_id="ChEBI:CHEBI:57692"; /evidence="ECO:0000255"; BINDING 411..414; /ligand="NADP(+)"; /ligand_id="ChEBI:CHEBI:58349"; /evidence="ECO:0000255"; BINDING 578..579; /ligand="NADP(+)"; /ligand_id="ChEBI:CHEBI:58349"; /evidence="ECO:0000255"	5.0	1.16.1.9	Evidence at protein level	YOL152W	FRE7
Q12334	SCM3_YEAST	223				5.0		Evidence at protein level	YDL139C	SCM3
Q12337	YG21B_YEAST	1770		CATALYTIC ACTIVITY: Reaction=a 2'-deoxyribonucleoside 5'-triphosphate + DNA(n) = diphosphate + DNA(n+1); Xref=Rhea:RHEA:22508, Rhea:RHEA-COMP:17339, Rhea:RHEA-COMP:17340, ChEBI:CHEBI:33019, ChEBI:CHEBI:61560, ChEBI:CHEBI:173112; EC=2.7.7.49; CATALYTIC ACTIVITY: Reaction=a 2'-deoxyribonucleoside 5'-triphosphate + DNA(n) = diphosphate + DNA(n+1); Xref=Rhea:RHEA:22508, Rhea:RHEA-COMP:17339, Rhea:RHEA-COMP:17340, ChEBI:CHEBI:33019, ChEBI:CHEBI:61560, ChEBI:CHEBI:173112; EC=2.7.7.7; CATALYTIC ACTIVITY: Reaction=Endonucleolytic cleavage to 5'-phosphomonoester.; EC=3.1.26.4;	BINDING 667; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="1"; /ligand_note="catalytic; for integrase activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; BINDING 732; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="1"; /ligand_note="catalytic; for integrase activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; BINDING 1361; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="2"; /ligand_note="catalytic; for reverse transcriptase activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; BINDING 1442; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="2"; /ligand_note="catalytic; for reverse transcriptase activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; BINDING 1443; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="2"; /ligand_note="catalytic; for reverse transcriptase activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; BINDING 1625; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="3"; /ligand_note="catalytic; for RNase H activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; BINDING 1667; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="3"; /ligand_note="catalytic; for RNase H activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; BINDING 1700; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="3"; /ligand_note="catalytic; for RNase H activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"	5.0	2.7.7.49; 2.7.7.7; 3.1.26.4; 3.4.23.-	Uncertain	YGR038C-D/YGR038C-C	TY2B-GR1
Q12339	UTP23_YEAST	254				5.0		Evidence at protein level	YOR004W	UTP23
Q12341	HAT1_YEAST	374		CATALYTIC ACTIVITY: Reaction=acetyl-CoA + L-lysyl-[protein] = CoA + H(+) + N(6)-acetyl-L-lysyl-[protein]; Xref=Rhea:RHEA:45948, Rhea:RHEA-COMP:9752, Rhea:RHEA-COMP:10731, ChEBI:CHEBI:15378, ChEBI:CHEBI:29969, ChEBI:CHEBI:57287, ChEBI:CHEBI:57288, ChEBI:CHEBI:61930; EC=2.3.1.48; Evidence={ECO:0000269|PubMed:24835250};	BINDING 220..222; /ligand="acetyl-CoA"; /ligand_id="ChEBI:CHEBI:57288"; /evidence="ECO:0000269|PubMed:24835250, ECO:0000269|PubMed:9727486"; BINDING 227..233; /ligand="acetyl-CoA"; /ligand_id="ChEBI:CHEBI:57288"; /evidence="ECO:0000269|PubMed:24835250, ECO:0000269|PubMed:9727486"; BINDING 258; /ligand="acetyl-CoA"; /ligand_id="ChEBI:CHEBI:57288"; /evidence="ECO:0000269|PubMed:24835250, ECO:0000269|PubMed:9727486"; BINDING 267; /ligand="acetyl-CoA"; /ligand_id="ChEBI:CHEBI:57288"; /evidence="ECO:0000269|PubMed:9727486"	5.0	2.3.1.48	Evidence at protein level	YPL001W	HAT1
Q12343	MED4_YEAST	284				5.0		Evidence at protein level	YOR174W	MED4
Q12344	GYP5_YEAST	894				5.0		Evidence at protein level	YPL249C	GYP5
Q12349	ATP14_YEAST	124				5.0		Evidence at protein level	YLR295C	ATP14
Q12355	PST1_YEAST	444				5.0		Evidence at protein level	YDR055W	PST1
Q12361	GPR1_YEAST	961				5.0		Evidence at protein level	YDL035C	GPR1
Q12362	RIB2_YEAST	591	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Evidence={ECO:0000250}; Note=Binds 1 zinc ion. {ECO:0000250};	CATALYTIC ACTIVITY: Reaction=uridine(32) in tRNA = pseudouridine(32) in tRNA; Xref=Rhea:RHEA:42544, Rhea:RHEA-COMP:10107, Rhea:RHEA-COMP:10108, ChEBI:CHEBI:65314, ChEBI:CHEBI:65315; EC=5.4.99.28; Evidence={ECO:0000269|PubMed:15466869}; CATALYTIC ACTIVITY: Reaction=2,5-diamino-6-hydroxy-4-(5-phosphoribosylamino)-pyrimidine + H(+) + H2O = 5-amino-6-(5-phospho-D-ribosylamino)uracil + NH4(+); Xref=Rhea:RHEA:21868, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:28938, ChEBI:CHEBI:58453, ChEBI:CHEBI:58614; EC=3.5.4.26; Evidence={ECO:0000269|PubMed:15466869};	BINDING 482; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /ligand_note="catalytic"; /evidence="ECO:0000250"; BINDING 515; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /ligand_note="catalytic"; /evidence="ECO:0000250"; BINDING 525; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /ligand_note="catalytic"; /evidence="ECO:0000250"	5.0	3.5.4.26; 5.4.99.28	Evidence at protein level	YOL066C	RIB2
Q12363	WTM1_YEAST	437				5.0		Evidence at protein level	YOR230W	WTM1
Q12365	BBP1_YEAST	385				5.0		Evidence at protein level	YPL255W	BBP1
Q12366	NDJ1_YEAST	352				5.0		Evidence at protein level	YOL104C	NDJ1
Q12373	HIF1_YEAST	385				5.0		Evidence at protein level	YLL022C	HIF1
Q12377	RPN6_YEAST	434				5.0		Evidence at protein level	YDL097C	RPN6
Q12379	SWM1_YEAST	170				5.0		Evidence at protein level	YDR260C	SWM1
Q12380	ATG5_YEAST	294				5.0		Evidence at protein level	YPL149W	ATG5
Q12382	DGK1_YEAST	290	COFACTOR: Name=Ca(2+); Xref=ChEBI:CHEBI:29108; Evidence={ECO:0000269|PubMed:18458076}; Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000269|PubMed:18458076};	CATALYTIC ACTIVITY: Reaction=a 1,2-diacyl-sn-glycerol + CTP = a 1,2-diacyl-sn-glycero-3-phosphate + CDP + H(+); Xref=Rhea:RHEA:25948, ChEBI:CHEBI:15378, ChEBI:CHEBI:17815, ChEBI:CHEBI:37563, ChEBI:CHEBI:58069, ChEBI:CHEBI:58608; EC=2.7.1.174; Evidence={ECO:0000269|PubMed:18458075, ECO:0000269|PubMed:18458076}; CATALYTIC ACTIVITY: Reaction=1,2-di-(9Z-octadecenoyl)-sn-glycerol + CTP = 1,2-di-(9Z-octadecenoyl)-sn-glycero-3-phosphate + CDP + H(+); Xref=Rhea:RHEA:43656, ChEBI:CHEBI:15378, ChEBI:CHEBI:37563, ChEBI:CHEBI:52333, ChEBI:CHEBI:58069, ChEBI:CHEBI:74546; Evidence={ECO:0000269|PubMed:18458076}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:43657; Evidence={ECO:0000305|PubMed:18458076};		5.0	2.7.1.174	Evidence at protein level	YOR311C	DGK1
Q12383	TRM13_YEAST	476		CATALYTIC ACTIVITY: Reaction=cytidine(4) in tRNA(Pro) + S-adenosyl-L-methionine = 2'-O-methylcytidine(4) in tRNA(Pro) + H(+) + S-adenosyl-L-homocysteine; Xref=Rhea:RHEA:32767, Rhea:RHEA-COMP:10397, Rhea:RHEA-COMP:10398, ChEBI:CHEBI:15378, ChEBI:CHEBI:57856, ChEBI:CHEBI:59789, ChEBI:CHEBI:74495, ChEBI:CHEBI:82748; EC=2.1.1.225; Evidence={ECO:0000269|PubMed:17242307}; CATALYTIC ACTIVITY: Reaction=cytidine(4) in tRNA(Gly)(GCC) + S-adenosyl-L-methionine = 2'-O-methylcytidine(4) in tRNA(Gly)(GCC) + H(+) + S-adenosyl-L-homocysteine; Xref=Rhea:RHEA:43192, Rhea:RHEA-COMP:10399, Rhea:RHEA-COMP:10400, ChEBI:CHEBI:15378, ChEBI:CHEBI:57856, ChEBI:CHEBI:59789, ChEBI:CHEBI:74495, ChEBI:CHEBI:82748; EC=2.1.1.225; Evidence={ECO:0000269|PubMed:17242307}; CATALYTIC ACTIVITY: Reaction=adenosine(4) in tRNA(His) + S-adenosyl-L-methionine = 2'-O-methyladenosine(4) in tRNA(His) + H(+) + S-adenosyl-L-homocysteine; Xref=Rhea:RHEA:43196, Rhea:RHEA-COMP:10401, Rhea:RHEA-COMP:10402, ChEBI:CHEBI:15378, ChEBI:CHEBI:57856, ChEBI:CHEBI:59789, ChEBI:CHEBI:74411, ChEBI:CHEBI:74477; EC=2.1.1.225; Evidence={ECO:0000269|PubMed:17242307};	BINDING 75; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01141"; BINDING 81; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01141"; BINDING 91; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01141"; BINDING 95; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01141"	5.0	2.1.1.225	Evidence at protein level	YOL125W	TRM13
Q12386	ARP8_YEAST	881			BINDING 502..505; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000250"	5.0		Evidence at protein level	YOR141C	ARP8
Q12389	DBP10_YEAST	995		CATALYTIC ACTIVITY: Reaction=ATP + H2O = ADP + H(+) + phosphate; Xref=Rhea:RHEA:13065, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616, ChEBI:CHEBI:43474, ChEBI:CHEBI:456216; EC=3.6.4.13;	BINDING 181..188; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00541"	5.0	3.6.4.13	Evidence at protein level	YDL031W	DBP10
Q12396	EMP46_YEAST	444			BINDING 177; /ligand="K(+)"; /ligand_id="ChEBI:CHEBI:29103"	5.0		Evidence at protein level	YLR080W	EMP46
Q12400	TRM10_YEAST	293		CATALYTIC ACTIVITY: Reaction=guanosine(9) in tRNA + S-adenosyl-L-methionine = H(+) + N(1)-methylguanosine(9) in tRNA + S-adenosyl-L-homocysteine; Xref=Rhea:RHEA:43156, Rhea:RHEA-COMP:10367, Rhea:RHEA-COMP:10368, ChEBI:CHEBI:15378, ChEBI:CHEBI:57856, ChEBI:CHEBI:59789, ChEBI:CHEBI:73542, ChEBI:CHEBI:74269; EC=2.1.1.221; Evidence={ECO:0000269|PubMed:12702816, ECO:0000269|PubMed:23793893};	BINDING 186..187; /ligand="S-adenosyl-L-methionine"; /ligand_id="ChEBI:CHEBI:59789"; BINDING 206; /ligand="S-adenosyl-L-methionine"; /ligand_id="ChEBI:CHEBI:59789"; BINDING 210..214; /ligand="S-adenosyl-L-methionine"; /ligand_id="ChEBI:CHEBI:59789"; BINDING 218; /ligand="S-adenosyl-L-methionine"; /ligand_id="ChEBI:CHEBI:59789"; BINDING 232; /ligand="S-adenosyl-L-methionine"; /ligand_id="ChEBI:CHEBI:59789"; BINDING 244..246; /ligand="S-adenosyl-L-methionine"; /ligand_id="ChEBI:CHEBI:59789"	5.0	2.1.1.221	Evidence at protein level	YOL093W	TRM10
Q12402	YOP1_YEAST	180				5.0		Evidence at protein level	YPR028W	YOP1
Q12404	MPD1_YEAST	318		CATALYTIC ACTIVITY: Reaction=Catalyzes the rearrangement of -S-S- bonds in proteins.; EC=5.3.4.1;		5.0	5.3.4.1	Evidence at protein level	YOR288C	MPD1
Q12406	ARP7_YEAST	477				5.0		Evidence at protein level	YPR034W	ARP7
Q12411	MPC70_YEAST	609				5.0		Evidence at protein level	YOL091W	SPO21
Q12414	YP11B_YEAST	1755		CATALYTIC ACTIVITY: Reaction=a 2'-deoxyribonucleoside 5'-triphosphate + DNA(n) = diphosphate + DNA(n+1); Xref=Rhea:RHEA:22508, Rhea:RHEA-COMP:17339, Rhea:RHEA-COMP:17340, ChEBI:CHEBI:33019, ChEBI:CHEBI:61560, ChEBI:CHEBI:173112; EC=2.7.7.49; CATALYTIC ACTIVITY: Reaction=a 2'-deoxyribonucleoside 5'-triphosphate + DNA(n) = diphosphate + DNA(n+1); Xref=Rhea:RHEA:22508, Rhea:RHEA-COMP:17339, Rhea:RHEA-COMP:17340, ChEBI:CHEBI:33019, ChEBI:CHEBI:61560, ChEBI:CHEBI:173112; EC=2.7.7.7; CATALYTIC ACTIVITY: Reaction=Endonucleolytic cleavage to 5'-phosphomonoester.; EC=3.1.26.4;	BINDING 671; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="1"; /ligand_note="catalytic; for integrase activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; BINDING 736; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="1"; /ligand_note="catalytic; for integrase activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; BINDING 1346; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="2"; /ligand_note="catalytic; for reverse transcriptase activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; BINDING 1427; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="2"; /ligand_note="catalytic; for reverse transcriptase activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; BINDING 1428; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="2"; /ligand_note="catalytic; for reverse transcriptase activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; BINDING 1610; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="3"; /ligand_note="catalytic; for RNase H activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; BINDING 1652; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="3"; /ligand_note="catalytic; for RNase H activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; BINDING 1685; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="3"; /ligand_note="catalytic; for RNase H activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"	5.0	2.7.7.49; 2.7.7.7; 3.1.26.4; 3.4.23.-	Inferred from homology	YPL257W-B	TY1B-PL
Q12416	WHI5_YEAST	295				5.0		Evidence at protein level	YOR083W	WHI5
Q12421	ATG31_YEAST	196				5.0		Evidence at protein level	YDR022C	ATG31
Q12425	ISA2_YEAST	185			BINDING 89; /ligand="Fe cation"; /ligand_id="ChEBI:CHEBI:24875"; /evidence="ECO:0000250|UniProtKB:P0AAC8"; BINDING 175; /ligand="Fe cation"; /ligand_id="ChEBI:CHEBI:24875"; /evidence="ECO:0000250|UniProtKB:P0AAC8"; BINDING 177; /ligand="Fe cation"; /ligand_id="ChEBI:CHEBI:24875"; /evidence="ECO:0000250|UniProtKB:P0AAC8"	5.0		Evidence at protein level	YPR067W	ISA2
Q12429	DPH6_YEAST	685		CATALYTIC ACTIVITY: Reaction=ATP + diphthine-[translation elongation factor 2] + NH4(+) = AMP + diphosphate + diphthamide-[translation elongation factor 2] + H(+); Xref=Rhea:RHEA:19753, Rhea:RHEA-COMP:10172, Rhea:RHEA-COMP:10174, ChEBI:CHEBI:15378, ChEBI:CHEBI:16692, ChEBI:CHEBI:28938, ChEBI:CHEBI:30616, ChEBI:CHEBI:33019, ChEBI:CHEBI:82696, ChEBI:CHEBI:456215; EC=6.3.1.14; Evidence={ECO:0000269|PubMed:23169644};		5.0	6.3.1.14	Evidence at protein level	YLR143W	DPH6
Q12432	EAF3_YEAST	401				5.0		Evidence at protein level	YPR023C	EAF3
Q12438	GLRX6_YEAST	231			BINDING 136; /ligand="[2Fe-2S] cluster"; /ligand_id="ChEBI:CHEBI:190135"; /ligand_note="ligand shared between dimeric partners"; /evidence="ECO:0000255"	5.0		Evidence at protein level	YDL010W	GRX6
Q12440	APC2_YEAST	853				5.0		Evidence at protein level	YLR127C	APC2
Q12443	RTN2_YEAST	393				5.0		Evidence at protein level	YDL204W	RTN2
Q12445	POM34_YEAST	299				5.0		Evidence at protein level	YLR018C	POM34
Q12446	LAS17_YEAST	633				5.0		Evidence at protein level	YOR181W	LAS17
Q12449	AHA1_YEAST	350				5.0		Evidence at protein level	YDR214W	AHA1
Q12451	OSH2_YEAST	1283				5.0		Evidence at protein level	YDL019C	OSH2
Q12452	ERG27_YEAST	347		CATALYTIC ACTIVITY: Reaction=3-dehydro-4alpha-methylzymosterol + H(+) + NADPH = 4alpha-methylzymosterol + NADP(+); Xref=Rhea:RHEA:36379, ChEBI:CHEBI:1949, ChEBI:CHEBI:15378, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349, ChEBI:CHEBI:136486; EC=1.1.1.270; Evidence={ECO:0000269|PubMed:10535978}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:36380; Evidence={ECO:0000269|PubMed:10535978};	BINDING 43..79; /ligand="NADP(+)"; /ligand_id="ChEBI:CHEBI:58349"; /evidence="ECO:0000250|UniProtKB:Q12634"	5.0	1.1.1.270	Evidence at protein level	YLR100W	ERG27
Q12457	NSI1_YEAST	570				5.0		Evidence at protein level	YDR026C	NSI1
Q12460	NOP56_YEAST	504				5.0		Evidence at protein level	YLR197W	NOP56
Q12461	PTPA2_YEAST	358		CATALYTIC ACTIVITY: Reaction=[protein]-peptidylproline (omega=180) = [protein]-peptidylproline (omega=0); Xref=Rhea:RHEA:16237, Rhea:RHEA-COMP:10747, Rhea:RHEA-COMP:10748, ChEBI:CHEBI:83833, ChEBI:CHEBI:83834; EC=5.2.1.8; Evidence={ECO:0000269|PubMed:16380387};		5.0	5.2.1.8	Evidence at protein level	YPL152W	RRD2
Q12462	PEX11_YEAST	236				5.0		Evidence at protein level	YOL147C	PEX11
Q12463	TRM11_YEAST	433		CATALYTIC ACTIVITY: Reaction=guanosine(10) in tRNA + S-adenosyl-L-methionine = H(+) + N(2)-methylguanosine(10) in tRNA + S-adenosyl-L-homocysteine; Xref=Rhea:RHEA:43128, Rhea:RHEA-COMP:10355, Rhea:RHEA-COMP:10357, ChEBI:CHEBI:15378, ChEBI:CHEBI:57856, ChEBI:CHEBI:59789, ChEBI:CHEBI:74269, ChEBI:CHEBI:74481; EC=2.1.1.214; Evidence={ECO:0000269|PubMed:15899842};		5.0	2.1.1.214	Evidence at protein level	YOL124C	TRM11
Q12464	RUVB2_YEAST	471		CATALYTIC ACTIVITY: Reaction=ATP + H2O = ADP + H(+) + phosphate; Xref=Rhea:RHEA:13065, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616, ChEBI:CHEBI:43474, ChEBI:CHEBI:456216; EC=3.6.4.12;	BINDING 75..82; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000250"	5.0	3.6.4.12	Evidence at protein level	YPL235W	RVB2
Q12465	RAX2_YEAST	1220				5.0		Evidence at protein level	YLR084C	RAX2
